Date;year;month;monthseq;AP;IPO
01.02.15;2015;2;31;AP 5.3;0,0
01.03.15;2015;3;32;AP 1.0;33,1
01.03.15;2015;3;32;AP 2.1;6,4
01.03.15;2015;3;32;AP 2.2;28,6
01.03.15;2015;3;32;AP 3.1;29,5
01.03.15;2015;3;32;AP 3.2;44,6
01.03.15;2015;3;32;AP 3.3;22,4
01.03.15;2015;3;32;AP 4.0;42,0
01.03.15;2015;3;32;AP 5.1;58,0
01.03.15;2015;3;32;AP 5.2;32,5
01.03.15;2015;3;32;AP 5.3;42,6
