"","estacao_id","latitude","longitude","nome","data_dia","temp_min","umid_max"
"169","SBIZ",-5.52,-47.45,"IMPERATRIZ",2019-10-09,24,88.5993
"170","SBIZ",-5.52,-47.45,"IMPERATRIZ",2019-10-10,24,83.3388
"171","SBPL",-9.37,-40.57,"PETROLINA (AEROPORTO)",2019-02-16,23,94.1486
"172","SBIZ",-5.52,-47.45,"IMPERATRIZ",2019-03-01,24,94.191
"173","SBMA",-5.37,-49.13,"MARABA",2019-09-02,24,94.2329
"174","SBMA",-5.37,-49.13,"MARABA",2019-11-05,25,94.2329
"175","SBMA",-5.37,-49.13,"MARABA",2019-11-15,25,100
"176","SBMA",-5.37,-49.13,"MARABA",2019-11-28,25,100
"177","SBPJ",10.28,-48.37,"PALMAS-TO (AEROPORTO)",2019-12-20,23,100
"178","SBPL",-9.37,-40.57,"PETROLINA (AEROPORTO)",2019-07-09,20,93.9745
"179","SBPJ",10.28,-48.37,"PALMAS-TO (AEROPORTO)",2019-07-19,22,94.191
"180","SBMA",-5.37,-49.13,"MARABA",2019-08-26,24,88.7589
"181","SBPL",-9.37,-40.57,"PETROLINA (AEROPORTO)",2019-12-20,26,69.5463
"182","SBTE",-5.03,-42.82,"TERESINA (AER. PETRONIO PORTELA)",2018-10-26,25,78.4977
"183","SBPL",-9.37,-40.57,"PETROLINA (AEROPORTO)",2019-07-19,20,82.8719
"184","SBPJ",10.28,-48.37,"PALMAS-TO (AEROPORTO)",2019-07-20,21,68.7735
"185","SBMA",-5.37,-49.13,"MARABA",2019-11-07,24,100
"186","SBMA",-5.37,-49.13,"MARABA",2019-11-16,25,100
"187","SBPB",-2.92,-41.75,"PARNAIBA (AEROPORTO)",2018-10-26,28,61.8373
"188","SBPJ",10.28,-48.37,"PALMAS-TO (AEROPORTO)",2019-07-09,24,73.6329
"189","SBMA",-5.37,-49.13,"MARABA",2019-08-30,25,88.6796
"190","SBMA",-5.37,-49.13,"MARABA",2019-11-17,26,94.2329
"191","SBCI",-7.32,-47.47,"CAROLINA (AEROPORTO)",2018-05-29,19,100
"192","SBMA",-5.37,-49.13,"MARABA",2018-11-27,23,100
"193","SBSL",-2.6,-44.22,"SBSL (82280) IN SAO LUIZ AEROPORTO",2019-05-01,24,100
"194","SBPL",-9.37,-40.57,"PETROLINA (AEROPORTO)",2019-07-20,20,82.8719
"195","SBMA",-5.37,-49.13,"MARABA",2019-08-24,24,94.1486
"196","SBMA",-5.37,-49.13,"MARABA",2019-08-31,25,83.4526
"197","SBPB",-2.92,-41.75,"PARNAIBA (AEROPORTO)",2019-12-08,30,70.2931
"198","SBBE",-1.37,-48.47,"BELEM (AEROPORTO)",2019-03-29,24,94.191
"199","SBPB",-2.92,-41.75,"PARNAIBA (AEROPORTO)",2019-05-25,29,79.0585
"200","SBMA",-5.37,-49.13,"MARABA",2019-08-23,23,94.1058
"201","SBMA",-5.37,-49.13,"MARABA",2019-08-28,21,94.1058
"202","SBMA",-5.37,-49.13,"MARABA",2019-09-13,24,100
"203","SBCI",-7.32,-47.47,"CAROLINA (AEROPORTO)",2019-09-27,25,83.4526
"204","SBBE",-1.37,-48.47,"BELEM (AEROPORTO)",2018-05-29,23,100
"205","SBPJ",10.28,-48.37,"PALMAS-TO (AEROPORTO)",2018-10-27,27,83.677
"206","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2019-06-29,25,69.3555
"207","SBMA",-5.37,-49.13,"MARABA",2019-08-20,25,78.4977
"208","SBSL",-2.6,-44.22,"SBSL (82280) IN SAO LUIZ AEROPORTO",2019-08-21,26,88.7589
"209","SBPB",-2.92,-41.75,"PARNAIBA (AEROPORTO)",2019-08-24,27,78.7807
"210","SBMA",-5.37,-49.13,"MARABA",2019-08-27,23,100
"211","SBPJ",10.28,-48.37,"PALMAS-TO (AEROPORTO)",2019-12-09,23,100
"212","SBMA",-5.37,-49.13,"MARABA",2018-09-09,23,100
"213","SBPL",-9.37,-40.57,"PETROLINA (AEROPORTO)",2018-10-27,25,69.5463
"214","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2018-01-06,NA,NA
"215","SBCI",-7.32,-47.47,"CAROLINA (AEROPORTO)",2018-08-13,22,94.0625
"216","SBCI",-7.32,-47.47,"CAROLINA (AEROPORTO)",2018-08-10,20,82.8719
"217","SBCI",-7.32,-47.47,"CAROLINA (AEROPORTO)",2018-08-09,18,88.1001
"218","SBCI",-7.32,-47.47,"CAROLINA (AEROPORTO)",2018-08-08,21,73.1147
"219","SBCI",-7.32,-47.47,"CAROLINA (AEROPORTO)",2018-08-07,21,73.1147
"220","SBCI",-7.32,-47.47,"CAROLINA (AEROPORTO)",2018-08-06,19,93.9298
"221","SBCI",-7.32,-47.47,"CAROLINA (AEROPORTO)",2018-08-03,20,93.9745
"222","SBCI",-7.32,-47.47,"CAROLINA (AEROPORTO)",2018-08-02,17,100
"223","SBCI",-7.32,-47.47,"CAROLINA (AEROPORTO)",2018-08-01,19,88.1855
"224","SBCI",-7.32,-47.47,"CAROLINA (AEROPORTO)",2018-07-31,17,93.8388
"225","SBCI",-7.32,-47.47,"CAROLINA (AEROPORTO)",2018-07-30,18,93.8845
"226","SBCI",-7.32,-47.47,"CAROLINA (AEROPORTO)",2018-07-27,19,93.9298
"227","SBCI",-7.32,-47.47,"CAROLINA (AEROPORTO)",2018-07-26,17,93.8388
"228","SBCI",-7.32,-47.47,"CAROLINA (AEROPORTO)",2018-07-25,19,88.1855
"229","SBCI",-7.32,-47.47,"CAROLINA (AEROPORTO)",2018-07-24,17,93.8388
"230","SBCI",-7.32,-47.47,"CAROLINA (AEROPORTO)",2018-07-23,19,93.9298
"231","SBCI",-7.32,-47.47,"CAROLINA (AEROPORTO)",2018-07-20,16,93.7926
"232","SBCI",-7.32,-47.47,"CAROLINA (AEROPORTO)",2018-07-19,18,93.8845
"233","SBCI",-7.32,-47.47,"CAROLINA (AEROPORTO)",2018-07-18,15,93.7458
"234","SBCI",-7.32,-47.47,"CAROLINA (AEROPORTO)",2018-07-17,15,100
"235","SBIZ",-5.52,-47.45,"IMPERATRIZ",2019-03-15,25,100
"236","SBPJ",10.28,-48.37,"PALMAS-TO (AEROPORTO)",2019-05-26,23,100
"237","SBBE",-1.37,-48.47,"BELEM (AEROPORTO)",2018-01-06,24,94.191
"238","SBMA",-5.37,-49.13,"MARABA",2019-03-01,23,100
"239","SBMA",-5.37,-49.13,"MARABA",2019-08-22,22,100
"240","SBMA",-5.37,-49.13,"MARABA",2019-08-21,23,100
"241","SBMA",-5.37,-49.13,"MARABA",2019-08-29,22,100
"242","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2018-08-13,24,78.3541
"243","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2018-08-12,24,83.3388
"244","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2018-08-11,23,78.2092
"245","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2018-08-10,23,78.3541
"246","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2018-08-09,24,73.6329
"247","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2018-08-08,23,78.3541
"248","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2018-08-07,25,73.8025
"249","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2018-08-06,25,69.3555
"250","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2018-08-05,24,73.6329
"251","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2018-08-04,23,83.2238
"252","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2018-08-03,22,78.3541
"253","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2018-08-02,24,78.3541
"254","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2018-08-01,24,73.6329
"255","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2018-07-31,21,88.3537
"256","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2018-07-30,23,88.5183
"257","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2018-07-29,25,73.8025
"258","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2018-07-28,24,69.5463
