"SE","tweets","APS","casos","estacao","x"
201029,NA,"AP2.1",13,"santosdumont",20.7142857142857
201030,NA,"AP2.1",17,"santosdumont",20.5
201031,NA,"AP2.1",12,"santosdumont",20
201032,NA,"AP2.1",15,"santosdumont",19.4285714285714
201033,NA,"AP2.1",6,"santosdumont",17.2857142857143
201034,NA,"AP2.1",9,"santosdumont",20
201035,NA,"AP2.1",14,"santosdumont",21.4285714285714
201036,NA,"AP2.1",5,"santosdumont",19.7142857142857
201037,NA,"AP2.1",1,"santosdumont",20.5714285714286
201038,NA,"AP2.1",6,"santosdumont",20.2857142857143
201039,NA,"AP2.1",4,"santosdumont",21.5
201040,NA,"AP2.1",2,"santosdumont",20.5714285714286
201041,NA,"AP2.1",1,"santosdumont",19.1428571428571
201042,NA,"AP2.1",9,"santosdumont",20.5714285714286
201043,NA,"AP2.1",10,"santosdumont",21.1428571428571
201044,NA,"AP2.1",11,"santosdumont",22
201045,NA,"AP2.1",11,"santosdumont",21
201046,NA,"AP2.1",11,"santosdumont",21.1666666666667
201047,NA,"AP2.1",14,"santosdumont",23
201048,NA,"AP2.1",24,"santosdumont",25
201049,NA,"AP2.1",23,"santosdumont",24.4285714285714
201050,NA,"AP2.1",25,"santosdumont",24.5714285714286
201051,NA,"AP2.1",20,"santosdumont",25
201052,NA,"AP2.1",28,"santosdumont",23.8571428571429
201101,NA,"AP2.1",17,"santosdumont",24.7142857142857
201102,NA,"AP2.1",33,"santosdumont",24.8571428571429
201103,60,"AP2.1",28,"santosdumont",25.7142857142857
201104,73,"AP2.1",49,"santosdumont",24.8571428571429
201105,108,"AP2.1",84,"santosdumont",24
201106,203,"AP2.1",98,"santosdumont",24.7142857142857
201107,218,"AP2.1",189,"santosdumont",24.1428571428571
201108,248,"AP2.1",180,"santosdumont",24
201109,251,"AP2.1",232,"santosdumont",23
201110,196,"AP2.1",288,"santosdumont",23
201111,324,"AP2.1",440,"santosdumont",23.4285714285714
201112,695,"AP2.1",519,"santosdumont",22.5
201113,800,"AP2.1",535,"santosdumont",23.5714285714286
201114,789,"AP2.1",637,"santosdumont",23.2857142857143
201115,808,"AP2.1",424,"santosdumont",24.4285714285714
201116,639,"AP2.1",265,"santosdumont",23.5714285714286
201117,621,"AP2.1",333,"santosdumont",22.1428571428571
201118,526,"AP2.1",276,"santosdumont",22.2857142857143
201119,671,"AP2.1",257,"santosdumont",21.1428571428571
201120,450,"AP2.1",190,"santosdumont",19
201121,289,"AP2.1",80,"santosdumont",19
201122,244,"AP2.1",114,"santosdumont",18.8571428571429
201123,159,"AP2.1",100,"santosdumont",17.8571428571429
201124,152,"AP2.1",85,"santosdumont",18.5714285714286
201125,130,"AP2.1",47,"santosdumont",19.7142857142857
201126,174,"AP2.1",52,"santosdumont",18.8571428571429
201127,109,"AP2.1",36,"santosdumont",16.5714285714286
201128,89,"AP2.1",33,"santosdumont",17.4285714285714
201129,95,"AP2.1",11,"santosdumont",20.5714285714286
201130,76,"AP2.1",26,"santosdumont",19.1428571428571
201131,56,"AP2.1",10,"santosdumont",18.8571428571429
201132,57,"AP2.1",9,"santosdumont",19.5714285714286
201133,75,"AP2.1",25,"santosdumont",19.8333333333333
201134,43,"AP2.1",13,"santosdumont",19.1428571428571
201135,91,"AP2.1",9,"santosdumont",19.1428571428571
201136,58,"AP2.1",16,"santosdumont",19.5
201137,59,"AP2.1",15,"santosdumont",19.4285714285714
201138,42,"AP2.1",15,"santosdumont",19.5714285714286
