"","nome","pre","pos","veryhigh","inicio","inicio.ic","duracao","duracao.ic","quant_pre","quant_pos","quant_epidemico","mininc_pre","mininc_pos","mininc_epi","ano_inicio","ano_fim","populacao","cid10","uf","regional_id"
"147","Ouricuri",1.41022854581688,2.18934049141371,13.3192400304215,12,"[6-18]",12,"[8.65765765765766-14.027027027027]",1.39659733026454,1.39659733026454,33.8814512322178,1.39659733026454,1.39659733026454,2.79319466052909,2010,2022,358013,"A90","PE",26007
"148","Petrolina",2.07627782917708,3.43269060383716,28.7695514358619,12,"[7-25]",12,"[6.94594594594595-16]",0.978837532546348,0.978837532546348,43.0688514320393,0.978837532546348,0.978837532546348,1.9576750650927,2010,2022,510810,"A90","PE",26009
"149","Recife",5.3598419179857,7.48131281574916,29.9311992074237,14,"[7-18]",11,"[6.31531531531532-13.3423423423423]",2.48845042079462,2.48845042079462,52.8572692918879,0.117379736829935,0.117379736829935,0.23475947365987,2010,2022,4259679,"A90","PE",26010
"150","Palmares",1.59905428061771,2.25829891064028,12.5667199188003,14,"[7-18]",10,"[4.65765765765766-11.3423423423423]",0.800055043787013,0.800055043787013,27.6659034141549,0.800055043787013,0.800055043787013,1.60011008757403,2010,2022,624957,"A90","PE",26008
"151","Goiana",3.21253239260517,4.29893021140556,34.1043172537114,15,"[2-18]",10,"[8-13]",1.58418351181801,1.58418351181801,83.3755782269818,1.58418351181801,1.58418351181801,3.16836702363602,2010,2022,315620,"A90","PE",26005
"152","Limoeiro",3.33522851076176,6.70127632918944,31.3698129297615,16,"[10-19]",12,"[8-13]",1.16059289717147,1.16059289717147,73.6479092747951,0.828994926551049,0.828994926551049,1.6579898531021,2010,2022,603140,"A90","PE",26006
"153","Vale do Rio Guaribas",0.929591537984703,2.32430536263455,15.9319712178959,16,"[12-20]",12,"[8.31531531531532-13]",1.32396671018104,1.32396671018104,25.1950864947452,1.32396671018104,1.32396671018104,2.64793342036208,2010,2022,377653,"A90","PI",22009
"154","Vale do Canindé",0.629644801851136,1.05783215394802,11.1243825142203,16,"[8-19]",14,"[13-15.6846846846847]",4.5826993932506,4.5826993932506,22.913496966253,4.5826993932506,4.5826993932506,9.1653987865012,2010,2022,109106,"A90","PI",22008
"155","Entre Rios",2.75331072629298,3.82703418042397,19.5007109840173,12,"[9-16]",12,"[7.94594594594595-14.6846846846847]",1.29363177418364,1.29363177418364,29.4907618520926,0.404259929432387,0.404259929432387,0.808519858864774,2010,2022,1236828,"A90","PI",22004
"156","Vale do Sambito",0.378774912827925,1.10775686735683,8.41856933773794,14,"[7-22]",10,"[5-14.3423423423423]",4.68177945073363,4.68177945073363,21.5361854733747,4.68177945073363,4.68177945073363,9.36355890146727,2010,2022,106797,"A90","PI",22010
"157","Tabuleiros do Alto Parnaíba",0.849279520848588,1.15343940806113,13.7206478504698,14,"[6-16]",12,"[8.97297297297298-12.6846846846847]",10.3788271925272,10.3788271925272,29.0607161390763,10.3788271925272,10.3788271925272,20.7576543850545,2010,2022,48175,"A90","PI",22007
"158","Cocais",1.12036978731092,1.80045097352605,7.23198209613919,13,"[10-16]",13,"[8.65765765765766-14]",1.24235022846821,1.24235022846821,20.4118142537326,1.24235022846821,1.24235022846821,2.48470045693641,2010,2022,402463,"A90","PI",22003
"159","Chapada das Mangabeiras",0.798934091642084,1.18408233628347,10.4856072613206,12,"[6-19]",13,"[10.6306306306306-14.3423423423423]",2.52641365476052,2.52641365476052,25.7694192785573,2.52641365476052,2.52641365476052,5.05282730952104,2010,2022,197909,"A90","PI",22002
"160","Vale dos Rios Piauí e Itaueiras",0.610375415144951,0.739696488396025,6.83954984980188,14,"[10-16]",10,"[7.65765765765766-11.3423423423423]",2.48474367384261,2.48474367384261,18.3871031864353,2.48474367384261,2.48474367384261,4.96948734768521,2010,2022,201228,"A90","PI",22011
"161","Serra da Capivara",0.693264914733094,1.50642832278283,12.5436380217764,16,"[9-22]",10,"[7-13.3423423423423]",3.35843201526072,3.35843201526072,20.8222784946164,3.35843201526072,3.35843201526072,6.71686403052143,2010,2022,148879,"A90","PI",22006
"162","Carnaubais",0.746249386948004,0.983159791436652,6.77098092713977,16,"[10-24]",10,"[6-13]",3.05664575920967,3.05664575920967,13.4492413405226,3.05664575920967,3.05664575920967,6.11329151841935,2010,2022,163578,"A90","PI",22001
"163","Planície Litorânea",1.24008807501988,2.99562072433566,15.9540994308864,17,"[15-22]",12,"[9.65765765765766-13]",1.81540260183501,1.81540260183501,26.9768826632682,1.81540260183501,1.81540260183501,3.63080520367002,2010,2022,275421,"A90","PI",22005
"164","Mossoró",4.45399251387241,4.99252873957665,25.9439411567424,16,"[8-20]",10,"[8-13.3693693693694]",1.01243677332351,1.01243677332351,37.3487925679041,1.01243677332351,1.01243677332351,2.02487354664701,2010,2022,493858,"A90","RN",24002
"165","São José de Mipibu",2.10572572827783,3.9466000961456,17.7351139663764,16,"[9-18]",14,"[11.3153153153153-16.6846846846847]",1.28788971542789,1.28788971542789,38.7139648457623,1.28788971542789,1.28788971542789,2.57577943085578,2010,2022,388232,"A90","RN",24001
"166","Santa Cruz",5.67820899624972,7.8683221231022,56.306878816594,17,"[8-27]",11,"[7.31531531531532-14.3423423423423]",2.47016046162359,2.47016046162359,82.9973915105525,2.47016046162359,2.47016046162359,4.94032092324717,2010,2022,202416,"A90","RN",24005
"167","Pau dos Ferros",3.5961633940791,4.21051190053122,28.0962298840967,13,"[5-27]",7,"[5-13.027027027027]",1.98379635140175,1.98379635140175,52.9475246189127,1.98379635140175,1.98379635140175,3.9675927028035,2010,2022,252042,"A90","RN",24006
"168","Caicó",7.79038368415802,11.3973994306517,62.4486108059083,10,"[6-18]",12,"[9-15.027027027027]",1.60299567832365,1.60299567832365,78.6109080649918,1.60299567832365,1.60299567832365,3.2059913566473,2010,2022,311916,"A90","RN",24004
"169","Açu",1.58242373711629,2.37979061799319,24.8221420199562,19,"[9-25]",10,"[7.97297297297298-14.3423423423423]",3.14615791195792,3.14615791195792,36.4954317787118,3.14615791195792,3.14615791195792,6.29231582391583,2010,2022,158924,"A90","RN",24008
"170","Metropolitana",6.41354225332143,10.0918887333702,38.4024828749704,15,"[6-20]",13,"[7.65765765765766-15]",2.98845799212068,2.98845799212068,65.5492749344908,0.364446096600082,0.364446096600082,0.728892193200165,2010,2022,1371945,"A90","RN",24007
"171","João Câmara",2.27228851817554,3.77323865867294,33.9249779810359,14,"[6-21]",11,"[8.65765765765766-17]",1.40911755422284,1.40911755422284,65.9889750642558,1.40911755422284,1.40911755422284,2.81823510844569,2010,2022,354832,"A90","RN",24003
"172","Nossa Senhora do Socorro",1.02306148587968,1.24926367233443,6.73407857044555,22,"[15-30]",10,"[7.31531531531532-13.027027027027]",1.43266475644699,1.43266475644699,9.74212034383954,1.43266475644699,1.43266475644699,2.86532951289398,2010,2022,349000,"A90","SE",28006
"173","Aracaju",2.75398861857926,3.64284791533951,17.0525091107422,20,"[2-25]",10,"[6.65765765765766-13]",0.918334783537012,0.918334783537012,26.4250833962775,0.573959239710633,0.573959239710633,1.14791847942127,2010,2022,871142,"A90","SE",28001
"174","Propriá",1.6611221270709,2.10631710061854,17.9133080029569,12,"[41-21]",6,"[3-9.36936936936937]",3.12644598126634,3.12644598126634,24.3862786538774,3.12644598126634,3.12644598126634,6.25289196253267,2010,2022,159926,"A90","SE",28007
"175","Estância",2.86651453614634,3.68543296844709,20.8374481331033,18,"[12-22]",10,"[7.65765765765766-14.027027027027]",2.01924746685405,2.01924746685405,27.8656150425859,2.01924746685405,2.01924746685405,4.03849493370811,2010,2022,247617,"A90","SE",28002
"176","Itabaiana",1.19103813850709,2.06499611037677,11.1071811998784,16,"[8-18]",12,"[8.31531531531532-15.027027027027]",1.96501487516261,1.96501487516261,16.289973315098,1.96501487516261,1.96501487516261,3.93002975032521,2010,2022,254451,"A90","SE",28003
"177","Nossa Senhora da Glória",0.926206909073533,2.50915684146518,10.8396503913858,13,"[44-31]",8,"[6.65765765765766-11.6846846846847]",2.86322926449367,2.86322926449367,24.0511258217468,2.86322926449367,2.86322926449367,5.72645852898733,2010,2022,174628,"A90","SE",28005
"178","Lagarto",1.95723735084696,2.45021811502475,13.5918251149883,20,"[51-26]",10,"[5.65765765765766-14.3423423423423]",1.90797457051492,1.90797457051492,21.865388578101,1.90797457051492,1.90797457051492,3.81594914102985,2010,2022,262058,"A90","SE",28004
"179","Baixada Cuiabana",3.31655139243335,3.67470334756804,16.0657285232607,5,"[1-12]",10,"[8-13.3423423423423]",1.0816934205506,1.0816934205506,30.4447530002242,0.491678827523001,0.491678827523001,0.983357655046001,2010,2022,1016924,"A90","MT",51002
"180","Norte Matogrossense",8.61596782688119,8.09987457106941,69.4121621824289,6,"[3-13]",13,"[8.28828828828829-17.027027027027]",7.27950382901901,7.27950382901901,189.703869784235,7.27950382901901,7.27950382901901,14.559007658038,2010,2022,68686,"A90","MT",51010
"181","Teles Pires",23.4048018191897,20.6411970179144,88.7745691836933,3,"[1-15]",14,"[11-16]",3.98573242899992,3.98573242899992,184.244422226426,1.1259131155367,1.1259131155367,2.2518262310734,2010,2022,444084,"A90","MT",51014
"182","Médio Norte Matogrossense",4.36879738058081,4.07287602532667,37.8877018414691,8,"[3-11]",14,"[13-14]",1.97789504497733,1.97789504497733,67.3077683805786,1.97789504497733,1.97789504497733,3.95579008995467,2010,2022,252794,"A90","MT",51007
"183","Garças Araguaia",8.50040300054355,4.75717917135816,34.9711787480688,2,"[51-8]",12,"[10-15.027027027027]",3.93703887432185,3.93703887432185,75.3942944432632,3.93703887432185,3.93703887432185,7.87407774864369,2010,2022,126999,"A90","MT",51005
"184","Vale do Peixoto",5.63266856560873,5.4741556601195,47.4042775239555,6,"[1-12]",12,"[8.63063063063063-14]",4.6686648552247,4.6686648552247,80.7212153468351,4.6686648552247,4.6686648552247,9.33732971044941,2010,2022,107097,"A90","MT",51015
"185","Sul Matogrossense",5.46839986318708,4.30864004572354,32.2111901401557,9,"[2-13]",14,"[10.6306306306306-14]",1.11311058753687,1.11311058753687,60.8778732167041,0.927592156280727,0.927592156280727,1.85518431256145,2010,2022,539030,"A90","MT",51013
"186","Sudoeste Matogrossense",4.13488511160801,3.76793071493868,27.8746608736974,4,"[2-13]",12,"[7.65765765765766-13]",4.16073761556449,4.16073761556449,65.7396543259189,4.16073761556449,4.16073761556449,8.32147523112898,2010,2022,120171,"A90","MT",51012
"187","Médio Araguaia",7.90433585160037,9.24303799985188,63.7559620826801,8,"[50-11]",13,"[6.97297297297297-15.3423423423423]",4.97943493372372,4.97943493372372,100.036847818509,4.97943493372372,4.97943493372372,9.95886986744744,2010,2022,100413,"A90","MT",51006
"188","Alto Tapajós",11.6408272886918,8.93869699788448,70.15593414659,2,"[47-11]",13,"[10.972972972973-15.3423423423423]",4.60205988200318,4.60205988200318,147.265916224102,4.60205988200318,4.60205988200318,9.20411976400637,2010,2022,108647,"A90","MT",51001
"189","Norte Araguaia Karajá",0.709163356330932,0.566196032942338,9.90014924263123,51,"[46-4]",8,"[4.65765765765766-11]",19.8255352894528,19.8255352894528,39.6510705789056,19.8255352894528,19.8255352894528,39.6510705789056,2010,2022,25220,"A90","MT",51009
"190","Centro Norte",4.50828401731482,2.90238424100463,23.7312559853739,8,"[51-14]",12,"[9-14.3423423423423]",4.91048191469511,4.91048191469511,49.2521336043919,4.91048191469511,4.91048191469511,9.82096382939022,2010,2022,101823,"A90","MT",51004
"191","Oeste Matogrossense",2.97872762518656,2.86800704111584,19.3884271560322,4,"[52-8]",12,"[9.28828828828829-14.3423423423423]",2.51132608062361,2.51132608062361,56.2537042059689,2.51132608062361,2.51132608062361,5.02265216124722,2010,2022,199098,"A90","MT",51011
"192","Vale dos Arinos",3.82609585362614,3.699256280894,42.4166475618137,3,"[1-9]",10,"[7.31531531531532-12.6846846846847]",9.26543621673708,9.26543621673708,94.5074494107183,9.26543621673708,9.26543621673708,18.5308724334742,2010,2022,53964,"A90","MT",51016
"193","Araguaia Xingu",2.03849967468266,2.8797673497076,26.6091151407888,5,"[1-11]",14,"[10.3153153153153-14.3423423423423]",5.42699604914688,5.42699604914688,52.2619719532844,5.42699604914688,5.42699604914688,10.8539920982938,2010,2022,92132,"A90","MT",51003
"194","Noroeste Matogrossense",6.47714012762257,5.71253213411642,32.945834460747,2,"[47-14]",9,"[5-13.3423423423423]",2.95616597098227,2.95616597098227,54.5708238243328,2.95616597098227,2.95616597098227,5.91233194196455,2010,2022,169138,"A90","MT",51008
"195","Campo Grande",9.90909401936947,9.12355922368271,90.5490138286001,3,"[1-8]",12,"[6.31531531531532-15]",2.90745700931297,2.90745700931297,177.172754981378,0.325218904844851,0.325218904844851,0.650437809689702,2010,2022,1537426,"A90","MS",50001
"196","Dourados",5.41150921028458,4.13834861637543,57.0139085507144,5,"[3-11]",14,"[11-14.6846846846847]",0.823908409633137,0.823908409633137,140.482268902519,0.588506006880812,0.588506006880812,1.17701201376162,2010,2022,849609,"A90","MS",50003
"197","Três Lagoas",10.3664597492958,14.0064264894001,106.97344077892,6,"[1-13]",12,"[7.31531531531532-12.6846846846847]",2.79122995547988,2.79122995547988,177.993245223508,1.74451872217493,1.74451872217493,3.48903744434985,2010,2022,286612,"A90","MS",50004
"198","Corumbá",6.90761179753819,9.64838644015215,56.0167312638958,4,"[1-9]",12,"[10.6576576576577-14.6846846846847]",3.68332265169764,3.68332265169764,130.426455096613,3.68332265169764,3.68332265169764,7.36664530339529,2010,2022,135747,"A90","MS",50002
"199","Distrito Federal",6.52430136954177,7.13170138853397,39.17887277072,11,"[7-13]",14,"[12.6576576576577-15]",1.5612986469727,1.5612986469727,70.8017841355692,0.163658139095671,0.163658139095671,0.327316278191342,2010,2022,3055149,"A90","DF",53001
"200","Central",22.9418664523097,20.9892256092225,107.630757895456,6,"[3-11]",15,"[13.6576576576577-17.3423423423423]",8.62653656954151,8.62653656954151,182.712110779193,0.258279538010225,0.258279538010225,0.51655907602045,2010,2022,1935887,"A90","GO",52001
"201","Rio Vermelho",5.86118756147289,5.13571690092629,48.8545938694991,6,"[3-10]",16,"[15-17]",2.50332942813943,2.50332942813943,85.6889663252125,2.50332942813943,2.50332942813943,5.00665885627885,2010,2022,199734,"A90","GO",52012
"202","Sul",9.19242343428412,8.0944488508381,85.5396637996726,6,"[4-10]",15,"[13.3153153153153-16.6846846846847]",1.95491191166926,1.95491191166926,115.242057192903,1.95491191166926,1.95491191166926,3.90982382333852,2010,2022,255766,"A90","GO",52017
