"SE","APS","casos","tweets","temp","Rt","casos_est","Rt_est","temp_crit","casos_crit","alertaRt1","alertaTemp","alertaCasos"
201145,"AP5.2",32,82,20.1428571428571,1.03603603603604,32.4194289512075,0.900539693089098,22,558.973622885758,0,0,0
201146,"AP5.2",36,85,20.7142857142857,0.904347826086957,30.9698711694143,0.967808474044195,22,558.973622885758,0,0,0
201147,"AP5.2",78,71,20.7142857142857,1.40384615384615,33.4005129868179,0.927792027411609,22,558.973622885758,0,0,0
201148,"AP5.2",109,97,21.2857142857143,1.52739726027397,78.9244710419815,1.01185219284592,22,558.973622885758,1,0,0
201149,"AP5.2",86,78,22.4285714285714,1.22421524663677,112.46023556709,1.03174528043202,22,558.973622885758,1,1,0
201150,"AP5.2",54,98,22.4285714285714,0.912087912087912,86.8162985720931,1.00949184386155,22,558.973622885758,1,1,0
201151,"AP5.2",35,107,23,0.70281124497992,61.2341730978808,1.13396616847927,22,558.973622885758,1,1,0
201152,"AP5.2",40,61,22.1428571428571,0.737142857142857,31.1981310407965,0.891375172594186,22,558.973622885758,0,1,0
201201,"AP5.2",75,140,21.8571428571429,1.16279069767442,43.9862170352899,1.09965542588225,22,558.973622885758,1,0,0
201202,"AP5.2",98,102,22.8571428571429,1.42,86.5093057147866,1.15345740953049,22,558.973622885758,1,1,0
201203,"AP5.2",104,125,23.5714285714286,1.30046948356808,97.3114477620739,0.992973956755856,22,558.973622885758,0,1,0
201204,"AP5.2",157,77,22.7142857142857,1.29602888086643,98.0426172732981,0.942717473781713,22,558.973622885758,0,1,0
201205,"AP5.2",211,86,21.4285714285714,1.31476323119777,137.802644630423,0.877723851149193,22,558.973622885758,0,0,0
201206,"AP5.2",238,87,23.8571428571429,1.28389830508475,230.788533041586,1.09378451678477,22,558.973622885758,1,1,0
201207,"AP5.2",231,120,23,1.12211221122112,275.006851034474,1.15549097073308,22,558.973622885758,1,1,0
201208,"AP5.2",280,102,23.5714285714286,1.10147058823529,252.251821835744,1.09199922872616,22,558.973622885758,1,1,0
201209,"AP5.2",449,222,24.1428571428571,1.28170894526035,397.70645939686,1.42038021213164,22,558.973622885758,1,1,0
201210,"AP5.2",614,242,22.7142857142857,1.39895833333333,581.131303113415,1.29427907152208,22,558.973622885758,1,1,1
201211,"AP5.2",583,206,23.2857142857143,1.22561429635145,617.729862454227,1.00607469455086,22,558.973622885758,1,1,1
201212,"AP5.2",828,252,22.8571428571429,1.23025516403402,602.243266245182,1.03300731774474,22,558.973622885758,1,1,1
201213,"AP5.2",715,267,22.7142857142857,1.04987654320988,911.194727268789,1.10047672375458,22,558.973622885758,1,1,1
201214,"AP5.2",727,262,22.8571428571429,1.06773283160865,737.152560697846,1.03098260237461,22,558.973622885758,1,1,1
201215,"AP5.2",863,300,22.8571428571429,1.01541850220264,770.307150642039,1.05956967075934,22,558.973622885758,1,1,1
201216,"AP5.2",965,442,21.4285714285714,1.10845986984816,986.120204057435,1.14266535811986,22,558.973622885758,1,0,1
201217,"AP5.2",872,556,21.4285714285714,1.05675146771037,1114.98788241988,1.15542785742993,22,558.973622885758,1,0,1
201218,"AP5.2",710,429,19.4285714285714,0.943333333333333,798.880813070219,0.916147721410802,22,558.973622885758,0,0,1
201219,"AP5.2",643,561,19.5714285714286,0.873576756968983,657.40638987518,0.925924492781943,22,558.973622885758,0,0,1
201220,"AP5.2",463,437,17.8571428571429,0.816179775280899,563.568847946141,0.876467881720281,22,558.973622885758,0,0,1
201221,"AP5.2",440,323,17.8571428571429,0.851321585903084,388.829185005601,0.839803855303673,22,558.973622885758,0,0,0
201222,"AP5.2",356,377,20.8571428571429,0.814359637774903,406.967782516733,0.92492677844712,22,558.973622885758,0,0,0
201223,"AP5.2",268,271,20.8571428571429,0.845115170770453,330.032870991254,0.927058626379926,22,558.973622885758,0,0,0
201224,"AP5.2",219,215,19.1428571428571,0.792293233082707,225.597288361503,0.841780926722025,22,558.973622885758,0,0,0
201225,"AP5.2",133,162,20.5714285714286,0.735468564650059,187.658441600738,0.856887861190586,22,558.973622885758,0,0,0
201226,"AP5.2",83,169,17.7142857142857,0.701612903225806,113.692540895008,0.854831134548931,22,558.973622885758,0,0,0
201227,"AP5.2",37,148,17.7142857142857,0.581609195402299,71.8376797411038,0.865514213748239,22,558.973622885758,0,0,0
201228,"AP5.2",28,147,17.1428571428571,0.58498023715415,31.4361438103704,0.849625508388388,22,558.973622885758,0,0,0
201229,"AP5.2",18,94,17.2857142857143,0.560810810810811,23.5891646063607,0.842470164512881,22,558.973622885758,0,0,0
201230,"AP5.2",18,66,18,0.771084337349398,14.8397720492628,0.824431780514601,22,558.973622885758,0,0,0
201231,"AP5.2",17,90,18.8571428571429,0.828125,16.1561703216919,0.897565017871774,22,558.973622885758,0,0,0
201232,"AP5.2",16,84,16.5714285714286,0.962264150943396,14.2869210989921,0.840407123470123,22,558.973622885758,0,0,0
201233,"AP5.2",19,63,17.2857142857143,1.01960784313725,13.5196320387344,0.844977002420903,22,558.973622885758,0,0,0
201234,"AP5.2",16,56,17.1428571428571,0.980769230769231,15.9698355143642,0.840517658650746,22,558.973622885758,0,0,0
201235,"AP5.2",9,63,17.5714285714286,0.862745098039216,13.8735711463636,0.867098196647723,22,558.973622885758,0,0,0
201236,"AP5.2",3,53,17.7142857142857,0.636363636363636,7.81023482232763,0.867803869147515,22,558.973622885758,0,0,0
201237,"AP5.2",9,84,20.7142857142857,0.75,3.1112283248582,1.03707610828607,22,558.973622885758,1,0,0
201238,"AP5.2",6,69,21,0.857142857142857,9.18216103574445,1.02024011508272,22,558.973622885758,1,0,0
201239,"AP5.2",4,49,16.8571428571429,1.05555555555556,5.01716071369246,0.836193452282077,22,558.973622885758,0,0,0
201240,"AP5.2",5,52,18.7142857142857,0.789473684210526,3.46257516767719,0.865643791919297,22,558.973622885758,0,0,0
201241,"AP5.2",6,48,20.7142857142857,1,4.76282129541051,0.952564259082102,22,558.973622885758,0,0,0
201242,"AP5.2",11,63,19.7142857142857,1.46666666666667,5.79438546160086,0.96573091026681,22,558.973622885758,0,0,0
201243,"AP5.2",3,87,22.8571428571429,0.909090909090909,13.7629027891444,1.25117298083131,22,558.973622885758,1,1,0
201244,"AP5.2",10,60,23.2857142857143,1.2,3.04894830008902,1.01631610002967,22,558.973622885758,1,1,0
201245,"AP5.2",11,53,22.7142857142857,1,8.6416177490767,0.86416177490767,22,558.973622885758,0,1,0
201246,"AP5.2",4,70,20.7142857142857,1.04166666666667,10.9572819595558,0.996116541777803,22,558.973622885758,0,0,0
201247,"AP5.2",5,64,21,0.8,4.02930837081509,1.00732709270377,22,558.973622885758,1,0,0
201248,"AP5.2",12,74,21.7142857142857,1.05,5.00909038924822,1.00181807784964,22,558.973622885758,1,0,0
