"SE","casos","tweets","temp","Rt","temp.1","temp_crit","casos_crit","alertaRt1","alertaTemp","alertaCasos"
201205,1685,86,21.4285714285714,1.19020715630885,21.4285714285714,22,4371.4914478357,0,0,0
201206,2025,87,23.8571428571429,1.16839963833635,23.8571428571429,22,4371.4914478357,1,1,0
201207,2480,120,23,1.19752369897466,23,22,4371.4914478357,1,1,0
201208,2963,102,23.5714285714286,1.2064620355412,23.5714285714286,22,4371.4914478357,1,1,0
201209,4235,222,24.1428571428571,1.29592929833958,24.1428571428571,22,4371.4914478357,1,1,0
201210,4967,242,22.7142857142857,1.25697458152511,22.7142857142857,22,4371.4914478357,1,1,1
201211,4859,206,23.2857142857143,1.15585696670777,23.2857142857143,22,4371.4914478357,1,1,1
201212,5808,252,22.8571428571429,1.1118697105469,22.8571428571429,22,4371.4914478357,1,1,1
201213,6129,267,22.7142857142857,1.07432518869131,22.7142857142857,22,4371.4914478357,1,1,1
201214,6243,262,22.8571428571429,1.08240057156466,22.8571428571429,22,4371.4914478357,1,1,1
201215,7525,300,22.8571428571429,1.09444444444444,22.8571428571429,22,4371.4914478357,1,1,1
201216,8644,442,21.4285714285714,1.12640096496959,21.4285714285714,22,4371.4914478357,1,0,1
201217,8301,556,21.4285714285714,1.09182580760307,21.4285714285714,22,4371.4914478357,1,0,1
201218,6974,429,19.4285714285714,0.977482631794033,19.4285714285714,22,4371.4914478357,0,0,1
201219,6396,561,19.5714285714286,0.906016137798403,19.5714285714286,22,4371.4914478357,0,0,1
201220,5683,437,17.8571428571429,0.879193392090813,17.8571428571429,22,4371.4914478357,0,0,1
201221,5010,323,17.8571428571429,0.896919120348502,17.8571428571429,22,4371.4914478357,0,0,1
201222,4038,377,20.8571428571429,0.862016501843291,20.8571428571429,22,4371.4914478357,0,0,1
201223,3041,271,20.8571428571429,0.820650329237662,20.8571428571429,22,4371.4914478357,0,0,0
201224,2448,215,19.1428571428571,0.788071800810654,19.1428571428571,22,4371.4914478357,0,0,0
201225,1709,162,20.5714285714286,0.755536895140128,20.5714285714286,22,4371.4914478357,0,0,0
201226,1226,169,17.7142857142857,0.74784662406224,17.7142857142857,22,4371.4914478357,0,0,0
201227,924,148,17.7142857142857,0.716886494519784,17.7142857142857,22,4371.4914478357,0,0,0
201228,604,147,17.1428571428571,0.713656387665198,17.1428571428571,22,4371.4914478357,0,0,0
201229,450,94,17.2857142857143,0.718228031953522,17.2857142857143,22,4371.4914478357,0,0,0
201230,333,66,18,0.701213346814965,18,22,4371.4914478357,0,0,0
201231,469,90,18.8571428571429,0.902667627974045,18.8571428571429,22,4371.4914478357,0,0,0
201232,403,84,16.5714285714286,0.962460063897764,16.5714285714286,22,4371.4914478357,0,0,0
201233,424,63,17.2857142857143,1.07551867219917,17.2857142857143,22,4371.4914478357,0,0,0
201234,341,56,17.1428571428571,0.901234567901235,17.1428571428571,22,4371.4914478357,0,0,0
201235,231,63,17.5714285714286,0.852739726027397,17.5714285714286,22,4371.4914478357,0,0,0
201236,167,53,17.7142857142857,0.741967871485944,17.7142857142857,22,4371.4914478357,0,0,0
201237,194,84,20.7142857142857,0.801082543978349,20.7142857142857,22,4371.4914478357,1,0,0
201238,181,69,21,0.915540540540541,21,22,4371.4914478357,1,0,0
201239,144,49,16.8571428571429,0.957564575645756,16.8571428571429,22,4371.4914478357,0,0,0
201240,155,52,18.7142857142857,0.92485549132948,18.7142857142857,22,4371.4914478357,0,0,0
201241,138,48,20.7142857142857,0.910416666666667,20.7142857142857,22,4371.4914478357,0,0,0
201242,170,63,19.7142857142857,1.05949656750572,19.7142857142857,22,4371.4914478357,0,0,0
201243,169,87,22.8571428571429,1.03023758099352,22.8571428571429,22,4371.4914478357,1,1,0
201244,155,60,23.2857142857143,1.0356394129979,23.2857142857143,22,4371.4914478357,1,1,0
201245,159,53,22.7142857142857,0.977732793522267,22.7142857142857,22,4371.4914478357,0,1,0
201246,129,70,20.7142857142857,0.917184265010352,20.7142857142857,22,4371.4914478357,1,0,0
201247,146,64,21,0.979683972911964,21,22,4371.4914478357,1,0,0
201248,191,74,21.7142857142857,1.07373271889401,21.7142857142857,22,4371.4914478357,1,0,0
201249,185,86,24.4285714285714,1.12017167381974,24.4285714285714,22,4371.4914478357,1,1,0
201250,198,86,24.2857142857143,1.09961685823755,24.2857142857143,22,4371.4914478357,1,1,0
201251,169,71,25.1428571428571,0.961672473867596,25.1428571428571,22,4371.4914478357,1,1,0
201252,167,72,25.7142857142857,0.967391304347826,25.7142857142857,22,4371.4914478357,1,1,0
201301,412,96,24.2857142857143,1.40074906367041,24.2857142857143,22,4371.4914478357,1,1,0
201302,706,135,22.8571428571429,1.71791443850267,22.8571428571429,22,4371.4914478357,1,1,0
201303,727,212,22.2857142857143,1.43579766536965,22.2857142857143,22,4371.4914478357,1,1,0
201304,910,195,22.7142857142857,1.26991869918699,22.7142857142857,22,4371.4914478357,1,1,0
201305,1087,185,23,1.16261203585147,23,22,4371.4914478357,1,1,0
201306,1030,184,23,1.11123348017621,23,22,4371.4914478357,1,1,0
201307,1353,224,25.7142857142857,1.14634952097787,25.7142857142857,22,4371.4914478357,1,1,0
201308,2501,440,25.1428571428571,1.40749279538905,25.1428571428571,22,4371.4914478357,1,1,0
201309,2979,473,22.8571428571429,1.39905814905815,22.8571428571429,22,4371.4914478357,1,1,0
201310,3073,474,24.4285714285714,1.25171959607786,24.4285714285714,22,4371.4914478357,1,1,0
201311,4107,659,24.4285714285714,1.18777037296855,24.4285714285714,22,4371.4914478357,1,1,0
201312,4090,869,22.8571428571429,1.10936115759425,22.8571428571429,22,4371.4914478357,1,1,1
201313,3895,852,22.7142857142857,1.07293700088731,22.7142857142857,22,4371.4914478357,1,1,1
201314,5116,932,22.7142857142857,1.08344359907377,22.7142857142857,22,4371.4914478357,1,1,0
201315,5115,1369,23.1428571428571,1.07823830241966,23.1428571428571,22,4371.4914478357,1,1,1
201316,4240,783,20.2857142857143,1.0244230496956,20.2857142857143,22,4371.4914478357,0,0,1
201317,2989,601,19.1428571428571,0.853016377582752,19.1428571428571,22,4371.4914478357,0,0,0
